FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Monday, July 22, 2024 02:20:00 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.04
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.0525
A_AXIS_MAX= 0.0525
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.0525
B_AXIS_MAX= 0.0525
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 394145
DEA_SIDEDNESS= Both Sides
BeginData
 0.352399999193055 0.331599999240683 0.324799999256254 0.339999999221449 0.335599999231524 0.341999999216869 0.323599999259002 0.30479999930205 0.312799999283731 0.287599999341435 0.312799999283731 0.312399999284647 0.2959999993222 0.305999999299302 0.333199999237019 0.321999999262665 0.329599999245263 0.342399999215953 0.337999999226028 0.341999999216869 0.347599999204046
 0.362399999170157 0.348799999201298 0.342799999215037 0.349199999200383 0.338799999224197 0.315199999278236 0.331999999239767 0.313999999280984 0.3135999992819 0.287199999342351 0.289999999335939 0.318799999269993 0.309199999291975 0.324799999256254 0.314799999279152 0.297999999317621 0.326799999251674 0.338799999224197 0.345599999208626 0.364799999164662 0.33519999923244
 0.318399999270909 0.339599999222365 0.337599999226944 0.335999999230608 0.332799999237935 0.349199999200383 0.320799999265413 0.346399999206794 0.346399999206794 0.327999999248926 0.333199999237019 0.328799999247095 0.33519999923244 0.351999999193971 0.350399999197635 0.333999999235188 0.344399999211374 0.331999999239767 0.339599999222365 0.332399999238851 0.332399999238851
 0.334799999233356 0.340799999219617 0.350799999196719 0.336399999229692 0.352799999192139 0.366399999160998 0.362399999170157 0.363999999166493 0.374399999142679 0.358399999179316 0.361999999171073 0.383599999121613 0.35679999918298 0.369999999152755 0.368399999156418 0.369999999152755 0.345599999208626 0.339999999221449 0.343199999214121 0.325599999254422 0.331599999240683
 0.325599999254422 0.348799999201298 0.332399999238851 0.328799999247095 0.337999999226028 0.337999999226028 0.371199999150007 0.377999999134436 0.372399999147259 0.409599999062078 0.412399999055667 0.383599999121613 0.388799999109706 0.385599999117034 0.347599999204046 0.353599999190307 0.355599999185728 0.339999999221449 0.354399999188476 0.331999999239767 0.336799999228776
 0.316799999274572 0.300799999311209 0.330399999243431 0.355599999185728 0.375199999140848 0.375599999139932 0.400399999083144 0.382399999124361 0.400399999083144 0.406399999069406 0.403999999074901 0.422799999031853 0.409599999062078 0.388399999110622 0.373599999144511 0.383199999122529 0.359599999176569 0.360799999173821 0.353999999189391 0.313199999282816 0.32439999925717
 0.315199999278236 0.330399999243431 0.353599999190307 0.355199999186644 0.371599999149091 0.387599999112454 0.407999999065742 0.423999999029105 0.400799999082229 0.414799999050171 0.416399999046508 0.39599999909322 0.415999999047423 0.417199999044676 0.415599999048339 0.389599999107874 0.394399999096883 0.367199999159166 0.337999999226028 0.326799999251674 0.305199999301134
 0.301599999309377 0.31559999927732 0.320799999265413 0.349999999198551 0.382799999123445 0.381199999127109 0.382399999124361 0.403199999076733 0.416399999046508 0.400399999083144 0.390399999106043 0.420399999037348 0.417199999044676 0.423599999030021 0.441599998988804 0.374399999142679 0.396799999091388 0.343599999213205 0.335999999230608 0.327599999249842 0.289199999337771
 0.324799999256254 0.318799999269993 0.330399999243431 0.355999999184812 0.395599999094136 0.410399999060246 0.421599999034601 0.422399999032769 0.396399999092304 0.396799999091388 0.382399999124361 0.38919999910879 0.403599999075817 0.415999999047423 0.425599999025441 0.393999999097799 0.383199999122529 0.380399999128941 0.346399999206794 0.321599999263581 0.293199999328612
 0.305999999299302 0.317199999273656 0.352399999193055 0.348399999202214 0.381199999127109 0.391999999102379 0.430799999013534 0.379599999130772 0.397199999090472 0.367999999157334 0.368799999155502 0.375599999139932 0.396399999092304 0.429599999016282 0.433599999007123 0.415199999049255 0.391599999103295 0.348399999202214 0.340799999219617 0.315999999276404 0.309599999291059
 0.301199999310293 0.307199999296554 0.341999999216869 0.372799999146343 0.385199999117949 0.404799999073069 0.407199999067574 0.392399999101463 0.371599999149091 0.368399999156418 0.378799999132604 0.383999999120697 0.385599999117034 0.397599999089556 0.396399999092304 0.393599999098715 0.399199999085892 0.363199999168325 0.336799999228776 0.307999999294723 0.287999999340519
 0.303999999303882 0.312399999284647 0.329599999245263 0.363999999166493 0.393599999098715 0.418399999041928 0.407999999065742 0.391199999104211 0.396399999092304 0.368399999156418 0.367999999157334 0.374399999142679 0.375599999139932 0.406399999069406 0.416799999045592 0.415199999049255 0.364399999165577 0.344799999210458 0.320799999265413 0.303999999303882 0.317999999271824
 0.297999999317621 0.317999999271824 0.334399999234272 0.370799999150923 0.380799999128025 0.391599999103295 0.426799999022694 0.423599999030021 0.411199999058415 0.375599999139932 0.365199999163746 0.376799999137184 0.420399999037348 0.389999999106958 0.405599999071237 0.411999999056583 0.38919999910879 0.356399999183896 0.343199999214121 0.32839999924801 0.310399999289227
 0.30479999930205 0.322799999260833 0.349599999199467 0.337999999226028 0.392799999100547 0.385599999117034 0.417999999042844 0.397599999089556 0.403999999074901 0.406399999069406 0.393599999098715 0.401199999081313 0.408399999064826 0.427199999021778 0.405199999072153 0.396399999092304 0.355599999185728 0.355199999186644 0.325999999253506 0.325599999254422 0.291599999332275
 0.319599999268161 0.327999999248926 0.363999999166493 0.343199999214121 0.372399999147259 0.402799999077649 0.40679999906849 0.409599999062078 0.398799999086808 0.428799999018114 0.405999999070322 0.407999999065742 0.407999999065742 0.405599999071237 0.40879999906391 0.400799999082229 0.355599999185728 0.35679999918298 0.349199999200383 0.319199999269077 0.317999999271824
 0.321999999262665 0.344399999211374 0.340399999220533 0.342399999215953 0.371599999149091 0.393199999099631 0.388799999109706 0.40679999906849 0.415599999048339 0.396799999091388 0.411199999058415 0.409599999062078 0.403199999076733 0.400799999082229 0.385999999116118 0.362399999170157 0.371599999149091 0.351199999195803 0.33519999923244 0.310399999289227 0.32839999924801
 0.321199999264497 0.327999999248926 0.349199999200383 0.355999999184812 0.369199999154586 0.357999999180232 0.362399999170157 0.377599999135352 0.400799999082229 0.395599999094136 0.369999999152755 0.373599999144511 0.399199999085892 0.391599999103295 0.397599999089556 0.329199999246179 0.341599999217785 0.349199999200383 0.322799999260833 0.336799999228776 0.336799999228776
 0.338799999224197 0.330399999243431 0.316399999275488 0.324799999256254 0.321999999262665 0.345599999208626 0.363599999167409 0.335999999230608 0.386799999114286 0.383999999120697 0.340399999220533 0.362399999170157 0.3763999991381 0.36959999915367 0.367999999157334 0.368799999155502 0.339599999222365 0.351599999194887 0.336399999229692 0.32639999925259 0.34799999920313
 0.334399999234272 0.345599999208626 0.32639999925259 0.337999999226028 0.341999999216869 0.323599999259002 0.344799999210458 0.323599999259002 0.360399999174737 0.354399999188476 0.331199999241599 0.335999999230608 0.354399999188476 0.336799999228776 0.340399999220533 0.351999999193971 0.341999999216869 0.344399999211374 0.348799999201298 0.320799999265413 0.352799999192139
 0.3587999991784 0.337999999226028 0.341999999216869 0.335599999231524 0.333999999235188 0.344399999211374 0.335999999230608 0.344799999210458 0.310799999288311 0.299199999314873 0.322399999261749 0.328799999247095 0.339599999222365 0.320799999265413 0.325999999253506 0.315199999278236 0.32439999925717 0.332399999238851 0.342399999215953 0.339999999221449 0.362799999169241
 0.366799999160082 0.364399999165577 0.355199999186644 0.351599999194887 0.340799999219617 0.337999999226028 0.308799999292891 0.309999999290143 0.301199999310293 0.30679999929747 0.299999999313041 0.305599999300218 0.303199999305714 0.295199999324032 0.314799999279152 0.337599999226944 0.332399999238851 0.335999999230608 0.339999999221449 0.3587999991784 0.370399999151839

