FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, June 27, 2024 18:28:26 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.04
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.05
A_AXIS_MAX= 0.05
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.05
B_AXIS_MAX= 0.05
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 24625
DEA_SIDEDNESS= Both Sides
BeginData
 0.251369999958017 0.198449999966855 0.231524999961331 0.216089999963909 0.200654999966487 0.17860499997017 0.138914999976799 0.185219999969065 0.171989999971274 0.152144999974589 0.165374999972379 0.169784999971643 0.138914999976799 0.185219999969065 0.171989999971274 0.149939999974957 0.185219999969065 0.187424999968697 0.209474999965014 0.160964999973116 0.229319999961699
 0.17860499997017 0.222704999962804 0.209474999965014 0.213884999964277 0.145529999975694 0.14111999997643 0.14111999997643 0.163169999972748 0.138914999976799 0.130094999978272 0.134504999977535 0.187424999968697 0.138914999976799 0.14111999997643 0.138914999976799 0.145529999975694 0.152144999974589 0.17860499997017 0.183014999969433 0.189629999968328 0.218294999963541
 0.209474999965014 0.194039999967592 0.19183499996796 0.165374999972379 0.163169999972748 0.156554999973852 0.134504999977535 0.121274999979745 0.165374999972379 0.108044999981954 0.136709999977167 0.143324999976062 0.130094999978272 0.132299999977903 0.130094999978272 0.112454999981218 0.156554999973852 0.154349999974221 0.14111999997643 0.169784999971643 0.207269999965382
 0.180809999969801 0.169784999971643 0.167579999972011 0.163169999972748 0.14111999997643 0.125684999979008 0.125684999979008 0.105839999982323 0.110249999981586 0.105839999982323 0.11465999998085 0.110249999981586 0.0815849999863738 0.108044999981954 0.12788999997864 0.103634999982691 0.154349999974221 0.185219999969065 0.165374999972379 0.185219999969065 0.207269999965382
 0.235934999960594 0.183014999969433 0.147734999975326 0.143324999976062 0.123479999979377 0.0926099999845324 0.0948149999841641 0.103634999982691 0.0859949999856372 0.088199999985269 0.0948149999841641 0.0992249999834276 0.0815849999863738 0.0926099999845324 0.116864999980481 0.0992249999834276 0.110249999981586 0.136709999977167 0.158759999973484 0.165374999972379 0.185219999969065
 0.167579999972011 0.152144999974589 0.163169999972748 0.125684999979008 0.132299999977903 0.112454999981218 0.103634999982691 0.0904049999849007 0.0595349999900565 0.0926099999845324 0.0815849999863738 0.0793799999867421 0.0948149999841641 0.0904049999849007 0.0970199999837959 0.0948149999841641 0.143324999976062 0.165374999972379 0.132299999977903 0.174194999970906 0.189629999968328
 0.125684999979008 0.14111999997643 0.145529999975694 0.0992249999834276 0.0970199999837959 0.0815849999863738 0.0793799999867421 0.0793799999867421 0.0771749999871103 0.0705599999882152 0.0661499999889517 0.0617399999896883 0.0771749999871103 0.0529199999911614 0.0837899999860055 0.0727649999878469 0.158759999973484 0.145529999975694 0.136709999977167 0.152144999974589 0.17860499997017
 0.138914999976799 0.149939999974957 0.123479999979377 0.0771749999871103 0.0793799999867421 0.112454999981218 0.105839999982323 0.0705599999882152 0.0374849999937393 0.039689999993371 0.0661499999889517 0.0418949999930028 0.06394499998932 0.0374849999937393 0.0771749999871103 0.0815849999863738 0.112454999981218 0.101429999983059 0.156554999973852 0.152144999974589 0.143324999976062
 0.123479999979377 0.132299999977903 0.145529999975694 0.112454999981218 0.0992249999834276 0.0970199999837959 0.0837899999860055 0.0727649999878469 0.0286649999952124 0.0330749999944759 0.0485099999918979 0.0418949999930028 0.0683549999885835 0.0683549999885835 0.0683549999885835 0.088199999985269 0.0926099999845324 0.11465999998085 0.123479999979377 0.125684999979008 0.187424999968697
 0.183014999969433 0.174194999970906 0.123479999979377 0.0727649999878469 0.11465999998085 0.0815849999863738 0.0463049999922662 0.0463049999922662 0.0352799999941076 0.0176399999970538 0.0374849999937393 0.0352799999941076 0.0463049999922662 0.0595349999900565 0.0485099999918979 0.0771749999871103 0.0992249999834276 0.121274999979745 0.134504999977535 0.138914999976799 0.14111999997643
