FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Sunday, June 30, 2024 02:33:13 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.09
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 420691
DEA_SIDEDNESS= Both Sides
BeginData
 1.11848943414125 1.05497273158133 1.03909355594135 0.956720332308942 0.885264041929021 0.870377314766537 0.871369763244036 0.806860612206607 0.830679375666581 0.864422623901544 0.873354660199034 0.852513242171557 0.817777545459095 0.844573654351566 0.847550999784062 0.847550999784062 0.896180975181509 0.98649378663391 0.985501338156411 1.04008600441885 1.10757250088876
 1.02321438030137 0.963667471651435 0.963667471651435 0.915037496253988 0.915037496253988 0.870377314766537 0.815792648504097 0.844573654351566 0.865415072379043 0.779072054836638 0.85846793303655 0.854498139126555 0.801898369819113 0.801898369819113 0.841596308919069 0.903128114524001 0.836634066531574 0.905113011478999 0.96763726556143 0.961682574696437 1.04802559223884
 0.975576853381422 0.919999738641483 0.878316902586529 0.835641618054076 0.810830406116603 0.805868163729108 0.793958781999121 0.82273978784659 0.817777545459095 0.815792648504097 0.812815303071601 0.824724684801588 0.856483036081553 0.79495123047662 0.802890818296612 0.810830406116603 0.77708715788164 0.839611411964071 0.84060386044157 0.914045047776489 1.04405579832884
 0.928931774938973 0.84953589673906 0.859460381514049 0.839611411964071 0.83167182414408 0.8138077515491 0.820754890891592 0.861445278469047 0.888241387361518 0.856483036081553 0.893203629749012 0.907097908433997 0.852513242171557 0.844573654351566 0.828694478711583 0.862437726946546 0.77708715788164 0.811822854594102 0.818769993936594 0.873354660199034 0.948780744488951
 0.862437726946546 0.835641618054076 0.797928575909117 0.838618963486572 0.79495123047662 0.827702030234084 0.906105459956498 0.932901568848969 0.928931774938973 1.01328989552638 0.998403168363897 0.977561750336419 0.938856259713962 0.889233835839017 0.799913472864115 0.811822854594102 0.841596308919069 0.815792648504097 0.83167182414408 0.867399969334041 0.887248938884019
 0.930916671893971 0.854498139126555 0.805868163729108 0.843581205874067 0.874347108676533 0.86839241781154 0.951758089921448 0.982523992723914 1.05298783462633 1.0758141496088 1.16612696106119 1.03413131355385 1.08673108286129 0.975576853381422 0.998403168363897 0.883279144974023 0.812815303071601 0.820754890891592 0.841596308919069 0.848543448261561 0.857475484559052
 0.798921024386616 0.834649169576577 0.818769993936594 0.869384866289038 0.867399969334041 0.94084115666896 1.04604069528384 1.06985945874381 1.18895327604367 1.1601722701962 1.1621571671512 1.16811185801619 1.11551208870875 1.09764801611378 1.05497273158133 0.923969532551478 0.838618963486572 0.80388326677411 0.788004091134128 0.853505690649056 0.874347108676533
 0.891218732794014 0.874347108676533 0.853505690649056 0.811822854594102 0.915037496253988 0.948780744488951 1.10459515545627 1.13933085216873 1.22865121514362 1.24750773621609 1.29018302074854 1.26537180881107 1.22071162732363 1.17902879126868 1.15421757933121 0.9954258229314 0.878316902586529 0.889233835839017 0.800905921341614 0.80388326677411 0.814800200026598
 0.830679375666581 0.796936127431618 0.824724684801588 0.821747339369091 0.935878914281465 1.05795007701382 1.12642902196124 1.26239446337858 1.25147753012609 1.31598668116351 1.31400178420851 1.29613771161354 1.33285830528099 1.27033405119857 1.19590041538616 1.00932010161638 0.901143217569004 0.869384866289038 0.836634066531574 0.838618963486572 0.808845509161605
 0.765177776151653 0.791973885044124 0.812815303071601 0.85846793303655 0.941833605146459 1.0748217011313 1.20780979711614 1.21177959102614 1.36064686265096 1.34377523853348 1.36362420808345 1.34972992939847 1.34576013548848 1.28720567531605 1.22071162732363 1.01229744704888 0.984508889678912 0.825717133279086 0.810830406116603 0.804875715251609 0.78601919417913
 0.793958781999121 0.838618963486572 0.805868163729108 0.856483036081553 0.997410719886398 1.15421757933121 1.17902879126868 1.28224343292855 1.36759400199345 1.3239262689835 0.89518852670401 1.37553358981344 1.328888511371 1.29911505704603 1.21078714254864 1.12642902196124 0.956720332308942 0.866407520856542 0.821747339369091 0.825717133279086 0.888241387361518
 0.788004091134128 0.816785096981596 0.816785096981596 0.853505690649056 1.00138051379639 1.08970842829379 1.16910430649369 1.24850018469359 1.35965441417346 1.33583565071349 1.35568462026346 1.39141276545342 1.30209240247853 1.22567386971112 1.17505899735868 1.11551208870875 0.977561750336419 0.881294248019025 0.891218732794014 0.846558551306564 0.864422623901544
 0.814800200026598 0.816785096981596 0.864422623901544 0.834649169576577 0.919999738641483 1.09268577372628 1.17803634279118 1.23361345753111 1.27231894815356 1.36263175960596 1.33087340832599 1.29911505704603 1.33583565071349 1.21773428189113 1.20979469407114 1.0797839435188 0.966644817083931 0.846558551306564 0.784034297224132 0.852513242171557 0.864422623901544
 0.836634066531574 0.807853060684106 0.857475484559052 0.878316902586529 0.900150769091505 1.01428234400388 1.05993497396882 1.14925533694371 1.23361345753111 1.26537180881107 1.25743222099108 1.27033405119857 1.26338691185608 1.24850018469359 1.10161781002377 1.03214641659886 0.857475484559052 0.870377314766537 0.919007290163984 0.867399969334041 0.86839241781154
 0.835641618054076 0.809837957639104 0.836634066531574 0.860452829991548 0.903128114524001 0.941833605146459 1.05497273158133 1.04107845289635 1.18597593061117 1.16711940953869 1.17009675497119 1.14826288846622 1.20086265777365 1.08276128895129 1.03512376203135 0.915037496253988 0.922977084073979 0.761207982241657 0.828694478711583 0.828694478711583 0.880301799541526
 0.881294248019025 0.857475484559052 0.855490587604054 0.788004091134128 0.884271593451522 0.884271593451522 0.917022393208986 1.03413131355385 0.992448477498903 1.08871597981629 1.0797839435188 1.12146677957375 1.04405579832884 1.01626724095888 0.894196078226511 0.900150769091505 0.827702030234084 0.844573654351566 0.845566102829065 0.82273978784659 0.911067702343993
 0.823732236324089 0.862437726946546 0.796936127431618 0.823732236324089 0.827702030234084 0.850528345216559 0.855490587604054 0.897173423659008 0.902135666046502 0.991456029021404 0.947788296011452 0.917022393208986 0.918014841686485 0.900150769091505 0.859460381514049 0.763192879196655 0.783041848746633 0.833656721099078 0.843581205874067 0.829686927189082 0.885264041929021
 0.932901568848969 0.896180975181509 0.85846793303655 0.779072054836638 0.859460381514049 0.838618963486572 0.835641618054076 0.84953589673906 0.84953589673906 0.86839241781154 0.810830406116603 0.892211181271513 0.815792648504097 0.839611411964071 0.830679375666581 0.89518852670401 0.845566102829065 0.815792648504097 0.843581205874067 0.942826053623958 0.882286696496524
 0.976569301858921 0.947788296011452 0.892211181271513 0.788996539611627 0.819762442414093 0.780064503314137 0.787011642656629 0.801898369819113 0.866407520856542 0.838618963486572 0.850528345216559 0.880301799541526 0.819762442414093 0.799913472864115 0.871369763244036 0.800905921341614 0.821747339369091 0.885264041929021 0.912060150821491 0.934886465803966 0.980539095768916
 1.02916907116636 0.977561750336419 0.903128114524001 0.928931774938973 0.855490587604054 0.863430175424045 0.845566102829065 0.811822854594102 0.772124915494145 0.841596308919069 0.792966333521622 0.836634066531574 0.841596308919069 0.806860612206607 0.798921024386616 0.852513242171557 0.873354660199034 0.869384866289038 0.962675023173936 0.996418271408899 1.08772353133879
 1.09963291306877 1.03115396812136 1.00535030770639 0.945803399056454 0.892211181271513 0.847550999784062 0.815792648504097 0.864422623901544 0.810830406116603 0.837626515009073 0.829686927189082 0.743343909646677 0.78601919417913 0.861445278469047 0.879309351064028 0.856483036081553 0.893203629749012 0.941833605146459 0.951758089921448 0.981531544246415 1.10161781002377

